Rider_ID,Full_Name,Gender,Date_of_Birth,Nationality,City,Phone,Email,Registration_Date,Status,Last_Ride_Date,Total_Rides,Total_Spent_SAR,Average_Rating_Given,Preferred_Payment_Method,Account_Tier,Women_Preferred_Rider
RDR000001,Noura Al-Saleh,Female,11/27/1983,Egyptian,Dammam,519068358,noura.alsaleh6@email.com,6/2/2021,Active,3/10/2023,758,20865.66,4.23,Credit Card,Diamond,Yes
RDR000002,Joud Al-Mansour,Female,4/13/1988,Yemeni,Taif,570273791,joud.almansour20@email.com,10/16/2025,Active,3/10/2023,142,5820.63,4.26,Cash,Gold,Yes
RDR000003,Layan Al-Hassan,Female,1/9/1996,Yemeni,Dhahran,521882280,layan.alhassan22@email.com,10/20/2022,Active,3/10/2023,687,24880.57,4.84,Mada,Diamond,Yes
RDR000004,Reem Al-Jasser,Female,11/20/1982,Pakistani,Jeddah,535420283,reem.aljasser97@email.com,2/27/2021,Active,3/10/2023,555,16247.66,4.37,Credit Card,Diamond,No
RDR000005,Turki Al-Rashid,Male,7/15/1988,Saudi,Dammam,581611045,turki.alrashid78@email.com,4/22/2021,Active,3/10/2023,723,17795.15,4.76,Cash,Diamond,No
RDR000006,Mubarak Al-Rashid,Male,5/1/1991,Saudi,Khobar,522217180,mubarak.alrashid15@email.com,11/26/2023,Active,3/10/2023,25,1109.84,4.79,Apple Pay,Silver,No
RDR000007,Waleed Al-Ghamdi,Male,1/9/1978,Saudi,Mecca,517907267,waleed.alghamdi79@email.com,11/12/2021,Active,3/10/2023,158,6925.72,3.96,Cash,Platinum,No
RDR000008,Mohammed Al-Qahtani,Male,11/23/1996,Jordanian,Dammam,526235817,mohammed.alqahtani7@email.com,5/17/2023,Active,3/10/2023,146,3077.21,4.12,Apple Pay,Gold,No
RDR000009,Mubarak Al-Khalid,Male,8/27/1983,Jordanian,Abha,518785652,mubarak.alkhalid62@email.com,4/27/2023,Active,3/10/2023,276,4379.35,3.59,Cash,Platinum,No
RDR000010,Mohammed Al-Khalifa,Male,10/31/2002,Saudi,Abha,586268638,mohammed.alkhalifa53@email.com,7/28/2025,Active,3/10/2023,253,7180.01,4.64,Mada,Platinum,No
RDR000011,Sultan Al-Turki,Male,3/14/1988,Saudi,Abha,510134359,sultan.alturki60@email.com,11/19/2020,Active,3/10/2023,551,24152.22,4.93,Cash,Diamond,No
RDR000012,Dana Al-Saud,Female,9/13/1992,Yemeni,Riyadh,538555376,dana.alsaud75@email.com,5/29/2024,Active,3/10/2023,257,10336.68,4.76,Cash,Platinum,Yes
RDR000013,Abdullah Al-Saleh,Male,2/1/1989,Saudi,Jeddah,591932582,abdullah.alsaleh65@email.com,6/8/2023,Active,3/10/2023,144,6296.04,4.59,Apple Pay,Gold,No
RDR000014,Joud Al-Farsi,Female,7/28/1981,Egyptian,Taif,512130654,joud.alfarsi89@email.com,1/23/2022,Active,3/10/2023,330,6273.88,4.01,Cash,Diamond,No
RDR000015,Fatima Al-Saud,Female,4/29/1984,Saudi,Mecca,597120361,fatima.alsaud84@email.com,8/20/2023,Active,3/10/2023,714,12370.55,4.55,Cash,Diamond,Yes
RDR000016,Reem Al-Sulaiman,Female,2/1/2008,Saudi,Dhahran,572101540,reem.alsulaiman48@email.com,9/28/2025,Active,3/10/2023,182,7841.91,4.76,Mada,Platinum,Yes
RDR000017,Mohammed Al-Khalifa,Male,7/18/1998,Saudi,Khobar,576277877,mohammed.alkhalifa47@email.com,2/23/2021,Active,3/10/2023,629,10129.34,4.44,Mada,Diamond,No
RDR000018,Samar Al-Saud,Female,10/25/2000,Pakistani,Medina,536007403,samar.alsaud85@email.com,6/11/2023,Active,3/10/2023,285,10591.87,4.35,Cash,Platinum,No
RDR000019,Abdullah Al-Rumaih,Male,2/28/1996,Saudi,Mecca,513102778,abdullah.alrumaih89@email.com,9/24/2019,Active,3/10/2023,584,20633.91,4.78,Cash,Diamond,No
RDR000020,Anoud Al-Saud,Female,3/4/1996,Saudi,Dhahran,579564413,anoud.alsaud60@email.com,8/1/2019,Active,3/10/2023,331,9886.06,4.15,Cash,Diamond,Yes
RDR000021,Hassan Al-Qahtani,Male,6/14/1993,Saudi,Dammam,586748329,hassan.alqahtani4@email.com,9/17/2023,Active,3/10/2023,324,14485.37,3.51,Debit Card,Diamond,No
RDR000022,Badr Al-Harbi,Male,2/16/2004,Saudi,Medina,574420002,badr.alharbi56@email.com,3/17/2021,Active,3/10/2023,319,12518.13,3.59,Mada,Diamond,No
RDR000023,Wafa Al-Mahmoud,Female,2/25/1985,Saudi,Jeddah,519785926,wafa.almahmoud77@email.com,4/23/2024,Active,3/10/2023,349,11721.86,4.75,Apple Pay,Diamond,No
RDR000024,Reem Al-Mutairi,Female,9/7/2005,Indian,Riyadh,517353632,reem.almutairi39@email.com,5/17/2019,Active,3/10/2023,711,23692.06,3.6,Debit Card,Diamond,Yes
RDR000025,Khalid Al-Jasser,Male,1/3/1998,Filipino,Riyadh,598546660,khalid.aljasser80@email.com,4/22/2022,Active,3/10/2023,412,6311.1,3.64,Cash,Diamond,No
